Date,Meters,Celsius,X,Y,Z
17:8:10,97.0,26.31,339,334,431
17:8:11,96.87,26.31,339,334,431
17:8:11,97.6,26.31,339,335,431
17:8:12,96.93,26.31,339,334,431
17:8:13,96.93,26.31,339,329,432
17:8:14,96.56,26.37,308,231,444
17:8:15,96.50,26.37,334,422,465
17:8:16,96.81,26.37,311,98,416
17:8:17,96.75,26.37,310,137,440
17:8:18,96.81,26.37,306,202,434
17:8:19,96.87,26.37,359,443,417
17:8:20,96.68,26.43,241,348,480
17:8:21,96.81,26.43,213,338,442
17:8:22,96.81,26.43,365,248,437
17:8:23,97.6,26.43,393,320,443
17:8:24,96.93,26.43,380,234,449
17:8:25,97.0,26.43,335,328,426
17:8:26,96.87,26.43,339,334,431
17:8:27,96.87,26.43,339,335,431
17:8:28,96.81,26.43,339,334,431
17:8:29,96.81,26.43,339,334,431
17:8:30,96.93,26.43,339,334,431
17:8:31,96.81,26.43,339,334,432
17:8:32,96.87,26.43,339,335,431
17:8:33,96.93,26.43,339,335,432
17:8:34,96.81,26.43,339,335,431
17:8:35,96.93,26.43,339,334,431
17:8:36,96.93,26.43,339,334,432
17:8:37,97.6,26.43,339,335,431
17:8:38,96.93,26.43,339,334,431
17:8:39,96.81,26.43,339,334,432
17:8:40,96.81,26.43,339,335,431
17:8:41,96.68,26.43,339,334,432
17:8:42,96.81,26.43,339,335,431
17:8:43,96.81,26.43,339,334,432
17:8:44,96.68,26.43,339,335,431
17:8:45,96.62,26.43,339,334,431
17:8:46,96.93,26.43,339,335,431
17:8:47,96.62,26.43,339,334,432
17:8:48,96.93,26.43,339,334,431
17:8:49,96.50,26.43,339,334,432
17:8:50,96.56,26.43,339,334,431
17:8:51,96.50,26.43,339,335,431
17:8:52,96.37,26.43,339,335,432
17:8:53,96.37,26.43,339,334,431
17:8:54,96.81,26.43,339,334,431
17:8:55,96.68,26.43,339,335,431
17:8:56,96.68,26.43,339,334,432
17:8:57,96.50,26.43,339,335,431
17:8:58,96.43,26.43,339,334,432
17:8:59,96.50,26.43,339,335,431
17:9:0,96.56,26.43,339,334,431
17:9:1,96.37,26.43,339,334,431
17:9:2,96.50,26.43,339,334,432
17:9:3,96.31,26.43,339,335,431
17:9:4,96.50,26.43,339,334,432
17:9:5,96.68,26.43,339,334,431
17:9:6,96.56,26.43,339,334,432
17:9:7,96.43,26.43,339,335,431
17:9:8,96.43,26.43,339,334,432
17:9:9,96.68,26.43,339,335,431
17:9:10,96.56,26.43,339,334,432
17:9:11,96.62,26.43,339,334,431
17:9:12,96.81,26.43,339,335,431
17:9:13,96.68,26.43,339,334,432
17:9:14,96.50,26.43,339,334,431
17:9:15,96.50,26.43,339,335,432
17:9:16,96.68,26.43,339,335,431
17:9:17,96.43,26.43,339,334,432
17:9:18,96.50,26.43,339,334,431
17:9:19,96.62,26.43,339,334,432
17:9:20,96.68,26.43,339,334,432
17:9:21,96.62,26.43,339,334,431
17:9:22,96.56,26.43,339,334,431
17:9:23,96.62,26.43,339,334,432
17:9:24,96.81,26.43,339,334,432
17:9:25,96.50,26.43,339,334,432
17:9:26,96.37,26.43,339,334,431
17:9:27,96.68,26.43,339,334,432
17:9:28,96.87,26.37,339,335,431
17:9:29,96.75,26.43,339,334,431
17:9:29,96.68,26.43,339,335,431
17:9:30,96.62,26.43,339,334,432
17:9:31,96.50,26.43,339,335,431
17:9:32,96.56,26.37,339,334,432
17:9:33,96.37,26.43,339,335,431
17:9:34,96.37,26.37,339,334,432
17:9:35,96.62,26.37,339,335,431
17:9:36,96.81,26.37,339,334,432
17:9:37,96.81,26.37,339,335,432
17:9:38,96.43,26.37,339,335,431
17:9:39,96.81,26.37,339,334,431
17:9:40,97.0,26.37,339,334,432
17:9:41,96.50,26.37,339,334,432
17:9:42,96.68,26.37,339,335,431
17:9:43,96.87,26.31,339,333,432
17:9:44,96.37,26.37,339,334,432
17:9:45,96.81,26.31,339,335,432
17:9:46,96.87,26.31,339,335,432
17:9:47,96.62,26.31,339,334,432
17:9:48,96.62,26.31,339,335,432
17:9:49,96.31,26.31,339,334,432
17:9:50,96.62,26.31,339,334,432
17:9:51,96.87,26.31,339,334,432
17:9:52,96.62,26.31,339,335,431
17:9:53,96.62,26.31,339,334,432
17:9:54,96.81,26.31,339,335,431
17:9:55,96.68,26.31,339,334,432
17:9:56,96.50,26.31,339,335,432
17:9:57,96.62,26.31,339,334,431
17:9:58,96.68,26.31,339,335,432
17:9:59,96.68,26.31,339,335,432
17:10:0,96.31,26.31,339,335,431
17:10:1,96.68,26.31,339,335,432
17:10:2,96.81,26.31,339,334,432
17:10:3,96.75,26.31,339,334,431
17:10:4,96.75,26.31,339,334,432
17:10:5,96.81,26.31,339,335,431
17:10:6,96.68,26.31,339,335,432
17:10:7,96.81,26.25,339,335,432
17:10:8,96.68,26.31,339,334,432
17:10:9,96.68,26.25,339,335,431
17:10:10,96.43,26.31,339,335,432
17:10:11,96.75,26.25,339,335,432
17:10:12,97.0,26.25,339,334,431
17:10:13,96.81,26.25,339,335,432
17:10:14,96.81,26.25,339,334,432
17:10:15,96.87,26.25,339,334,432
17:10:16,96.68,26.25,339,335,431
17:10:17,96.68,26.25,339,334,432
17:10:18,96.56,26.25,339,335,432
