Date,Pascals,Meters,Celsius,X,Y,Z
21:27:24,100585,61,25,292,332,407
21:27:27,100583,61,25,326,324,426
21:27:30,100588,61,25,326,324,426
21:27:33,100589,61,25,326,324,426
21:27:36,100593,61,24,326,324,425
21:27:39,100589,61,24,326,324,426
21:27:42,100589,61,24,326,324,425
21:27:45,100586,61,24,326,324,426
21:27:48,100585,61,24,326,324,426
21:27:51,100582,62,24,326,324,425
21:27:54,100582,62,24,326,324,426
21:27:57,100578,62,24,326,324,426
21:28:0,100576,62,24,326,324,426
21:28:3,100577,62,24,326,324,426
21:28:6,100572,62,24,326,324,426
21:28:9,100568,62,24,326,324,426
21:28:11,100571,63,24,326,324,426
21:28:14,100569,63,23,326,324,426
21:28:17,100565,63,23,326,324,426
21:28:20,100569,63,23,326,324,426
21:28:23,100573,62,23,326,324,426
21:28:26,100573,62,23,326,324,426
21:28:29,100574,62,23,326,324,426
21:28:32,100572,62,23,326,324,426
21:28:35,100573,63,23,326,324,426
21:28:38,100566,62,23,326,324,426
21:28:41,100565,63,23,326,324,426
21:28:44,100570,63,23,326,324,426
21:28:47,100566,63,23,326,324,426
21:28:50,100562,63,23,326,324,427
21:28:53,100565,63,23,326,324,426
21:28:56,100562,63,23,326,324,426
21:28:59,100565,63,23,326,324,426
21:29:2,100563,63,23,326,324,426
21:29:5,100565,63,23,326,324,427
21:29:8,100564,63,23,326,324,427
21:29:11,100562,63,23,326,324,426
21:29:14,100564,63,23,326,324,426
21:29:17,100564,63,23,326,324,426
21:29:20,100562,63,23,326,324,426
21:29:23,100559,64,23,326,324,427
21:29:26,100560,63,23,326,324,426
21:29:29,100558,63,23,326,324,427
21:29:32,100562,64,23,326,324,427
21:29:35,100559,64,22,326,324,427
21:29:38,100558,63,22,326,324,426
21:29:41,100560,63,22,326,324,426
21:29:44,100560,63,22,326,324,426
21:29:47,100565,63,22,326,324,427
21:29:50,100565,63,22,326,324,426
21:29:53,100568,63,22,326,324,426
21:29:56,100568,63,22,326,324,427
21:29:59,100571,63,22,326,324,427
21:30:2,100572,62,22,326,324,427
21:30:5,100571,62,22,326,324,427
21:30:8,100569,63,22,326,324,427
21:30:11,100574,62,22,326,324,427
21:30:14,100575,62,22,326,324,427
21:30:17,100574,62,22,326,324,427
21:30:20,100575,62,22,326,324,427
21:30:23,100574,62,22,326,324,426
21:30:26,100572,63,22,326,324,427
21:30:29,100573,62,22,326,324,427
21:30:32,100573,62,22,326,324,427
21:30:35,100572,62,22,326,324,427
21:30:38,100576,62,22,326,324,426
21:30:41,100571,62,22,326,324,427
21:30:44,100572,62,22,326,324,426
21:30:47,100575,63,22,326,324,427
21:30:50,100573,62,22,326,324,427
21:30:53,100574,62,22,326,324,426
21:30:56,100572,62,22,326,324,427
21:30:59,100570,63,22,326,324,427
21:31:2,100573,62,22,326,324,427
21:31:4,100569,62,22,326,324,427
21:31:7,100576,62,22,326,324,427
21:31:10,100576,62,22,326,324,427
21:31:13,100577,62,22,326,324,427
21:31:16,100574,62,22,326,324,426
21:31:19,100577,62,22,326,324,427
21:31:22,100574,62,22,326,324,427
21:31:25,100576,62,22,326,324,427
21:31:28,100574,62,22,326,324,427
21:31:31,100579,62,22,326,324,427
21:31:34,100577,62,22,326,324,427
21:31:37,100578,62,22,326,324,427
21:31:40,100577,62,22,326,324,427
21:31:43,100577,62,22,326,324,427
21:31:46,100577,62,22,326,324,427
21:31:49,100579,62,22,326,324,427
21:31:52,100580,62,22,326,324,427
21:31:55,100580,62,22,326,324,427
21:31:58,100579,62,22,326,324,427
21:32:1,100580,62,22,326,324,427
21:32:4,100575,62,22,326,324,427
21:32:7,100580,62,22,326,324,427
21:32:10,100581,62,22,326,324,427
21:32:13,100575,62,22,326,324,427
21:32:16,100579,62,22,326,324,427
21:32:19,100580,62,22,326,324,427
21:32:22,100576,62,22,326,324,426
21:32:25,100579,62,22,326,324,427
21:32:28,100578,62,22,326,324,427
21:32:31,100573,62,22,326,324,427
21:32:34,100581,62,22,326,324,427
21:32:37,100579,62,22,326,324,427
21:32:40,100580,62,22,326,324,427
21:32:43,100580,62,22,326,324,427
21:32:46,100577,62,22,326,324,427
21:32:49,100578,62,22,326,324,427
21:32:52,100577,62,22,326,324,427
21:32:55,100580,62,22,326,324,427
21:32:58,100575,62,22,326,324,427
21:33:1,100578,62,22,326,324,427
21:33:4,100576,62,22,326,324,427
21:33:7,100580,62,22,326,324,427
21:33:10,100579,62,22,326,324,427
21:33:13,100578,62,22,326,324,427
21:33:16,100578,62,22,326,324,427
21:33:19,100578,62,22,326,324,427
21:33:22,100577,62,22,326,324,427
21:33:25,100574,62,22,326,324,427
21:33:28,100577,62,22,326,324,427
21:33:31,100574,62,22,326,324,427
21:33:34,100575,62,22,326,324,427
21:33:37,100576,63,22,326,324,427
21:33:40,100575,62,22,326,324,427
21:33:43,100573,62,22,326,324,427
21:33:46,100573,62,22,326,324,427
21:33:49,100574,62,22,326,324,427
21:33:52,100574,62,22,326,324,427
21:33:55,100576,62,22,326,324,427
21:33:58,100575,62,22,326,324,427
21:34:1,100574,62,22,326,324,427
21:34:4,100571,62,22,326,324,427
21:34:6,100575,62,22,326,324,427
21:34:9,100573,62,22,326,324,427
21:34:12,100570,63,22,326,324,427
21:34:15,100571,62,22,326,324,427
21:34:18,100570,62,22,326,324,427
21:34:21,100570,62,22,326,324,427
21:34:24,100570,62,22,326,324,427
21:34:27,100573,63,22,326,324,427
21:34:30,100573,63,22,326,324,427
21:34:33,100572,63,22,326,324,427
21:34:36,100572,62,22,326,324,427
21:34:39,100572,63,22,326,324,427
21:34:42,100575,62,22,326,324,427
21:34:45,100574,62,22,326,324,427
21:34:48,100577,63,22,326,324,427
21:34:51,100572,62,22,326,324,427
21:34:54,100571,62,22,326,324,427
21:34:57,100571,62,22,326,324,427
21:35:0,100572,62,22,326,324,427
21:35:3,100572,62,22,326,324,427
21:35:6,100573,62,22,326,324,427
21:35:9,100571,63,22,326,324,427
21:35:12,100572,63,22,326,324,427
21:35:15,100572,63,21,326,324,427
21:35:18,100570,62,22,326,324,427
21:35:21,100572,62,22,326,324,427
21:35:24,100574,63,22,326,324,427
21:35:27,100574,62,22,326,324,427
21:35:30,100573,62,22,326,324,427
21:35:33,100574,62,22,326,324,427
21:35:36,100573,62,22,326,324,427
21:35:39,100573,63,22,326,324,427
21:35:42,100573,62,22,326,324,427
21:35:45,100576,62,22,326,324,427
21:35:48,100572,62,22,326,324,427
21:35:51,100572,62,22,326,324,427
21:35:54,100575,62,22,326,324,427
21:35:57,100575,62,22,326,324,427
21:36:0,100573,62,22,326,324,427
21:36:3,100578,62,22,326,324,427
21:36:6,100575,62,22,324,324,427
21:36:9,100578,62,22,326,324,427
21:36:12,100577,62,22,326,324,427
21:36:15,100579,62,22,326,324,427
21:36:18,100580,62,22,326,324,427
21:36:21,100579,62,22,326,324,427
21:36:24,100579,62,22,326,324,427
21:36:27,100581,62,22,326,324,427
21:36:30,100580,62,22,326,324,427
21:36:33,100580,62,22,334,329,427
21:36:36,100580,62,22,328,327,427
21:36:39,100583,62,22,328,327,427
21:36:42,100581,62,22,328,327,428
21:36:45,100581,62,22,328,327,428
21:36:48,100583,62,22,328,327,427
21:36:51,100584,62,22,328,327,427
21:36:54,100581,61,22,328,327,427
21:36:57,100582,62,22,328,327,427
21:37:0,100585,62,22,328,327,428
21:37:3,100581,61,22,328,327,427
21:37:5,100582,62,22,328,327,427
21:37:8,100580,62,22,328,327,427
21:37:11,100584,62,22,328,327,428
21:37:14,100584,62,22,328,327,428
21:37:17,100586,62,22,328,327,427
21:37:20,100581,62,22,328,327,427
21:37:23,100581,62,22,328,327,428
21:37:26,100585,62,22,328,327,427
21:37:29,100583,62,22,328,327,428
21:37:32,100584,62,22,328,327,428
21:37:35,100582,62,22,328,327,427
21:37:38,100584,61,22,328,327,427
21:37:41,100581,61,22,328,327,427
21:37:44,100583,62,22,328,327,427
21:37:47,100581,62,22,328,327,427
21:37:50,100578,62,22,328,327,428
21:37:53,100576,62,22,328,327,427
21:37:56,100582,62,22,328,327,427
21:37:59,100576,62,22,328,327,427
21:38:2,100579,62,22,328,327,427
21:38:5,100575,62,22,328,327,427
21:38:8,100578,62,22,328,327,427
21:38:11,100577,62,22,328,327,427
21:38:14,100577,62,22,328,327,427
21:38:17,100575,62,22,328,327,427
21:38:20,100577,62,22,328,327,428
21:38:23,100577,62,22,328,327,427
21:38:26,100577,62,22,328,327,427
21:38:29,100575,62,22,328,327,427
21:38:32,100579,62,22,328,327,427
21:38:35,100577,62,22,328,327,427
21:38:38,100577,62,22,328,327,427
21:38:41,100578,62,22,328,327,427
21:38:44,100576,62,22,328,327,427
21:38:47,100579,62,22,328,327,427
21:38:50,100576,62,22,328,327,427
21:38:53,100580,62,22,328,327,428
21:38:56,100575,62,22,328,327,427
21:38:59,100583,62,22,329,329,428
21:39:2,100581,62,22,329,329,427
21:39:5,100577,62,22,329,329,428
21:39:8,100576,62,22,329,329,427
21:39:11,100578,62,22,329,329,427
21:39:14,100578,62,22,329,329,428
21:39:17,100580,62,22,329,329,428
21:39:20,100580,62,22,329,329,428
21:39:23,100578,62,22,329,329,427
21:39:26,100581,62,22,329,329,427
21:39:29,100583,62,22,329,329,427
21:39:32,100576,62,22,329,329,427
21:39:35,100577,62,22,329,329,427
21:39:38,100576,62,22,329,329,428
21:39:41,100578,62,22,329,329,427
21:39:44,100575,62,22,329,329,427
21:39:47,100571,62,22,329,329,428
21:39:50,100570,63,22,329,329,427
21:39:53,100571,62,22,329,329,427
21:39:56,100569,62,22,329,329,427
21:39:59,100566,62,22,329,329,427
21:40:2,100573,63,22,329,329,428
21:40:4,100573,62,22,329,329,427
21:40:7,100569,63,22,329,329,427
